id;statut;date_creation_demande;lanque;priorite;modalite;type_activite
1;ATTENTE;2019-12-02T17:04:11;FRANCAIS;INCONNU;DIFERE;DEMANDE_OPINION
2;ANNULE;2019-12-02T12:28:35;ANGLAIS;URGENT;REEL_AVEC_PATIENT;TELECONSULTATION
3;ANNULE;2019-12-02T14:03:14;FRANCAIS;INCONNU;REEL_AVEC_PATIENT;DISCUSSION
4;ATTENTE;2019-12-02T04:47:23;ANGLAIS;INCONNU;REEL;TELECONSULTATION
5;TERMINE;2019-12-02T18:59:29;ANGLAIS;NORMAL;DIFERE;DEMANDE_DE_TRANSFERT
6;REFUSE;2019-12-02T08:54:21;ANGLAIS;NORMAL;DIFERE;DEMANDE_DE_TRANSFERT
7;TERMINE;2019-12-02T14:13:47;ANGLAIS;NORMAL;DIFERE;DEMANDE_DE_TRANSFERT
8;REFUSE;2019-12-02T08:28:03;ANGLAIS;INCONNU;REEL_AVEC_PATIENT;DEMANDE_OPINION
9;REFUSE;2019-12-01T22:12:23;ANGLAIS;IMPORTANT;REEL;DISCUSSION
10;REFUSE;2019-12-02T02:26:02;FRANCAIS;IMPORTANT;REEL_AVEC_PATIENT;TELECONSULTATION
